bear,video,frame,body_length,limb_length,num_feet_down,num_rearfeet_down,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,L4_leg_down,L4_leg_loc,R4_leg_down,R4_leg_loc,head_pos,center_pos,COM_dist,COM_speed,tail_pos
Bear6,1,1,320.30830850916124,41.54593842964677,5,1,0,0,1,"(669, 846)",1,"(693, 822)",1,"(549, 762)",1,"(774, 681)",1,"(630, 609)",1,"(834, 474)",0,0,"(618, 1032)","(660, 711)",0.0,0.0,"(774, 471)"
Bear6,1,2,320.30830850916124,41.54593842964677,5,1,0,0,1,"(669, 846)",1,"(687, 813)",1,"(549, 762)",1,"(774, 681)",1,"(630, 609)",1,"(834, 474)",0,0,"(618, 1032)","(660, 711)",0.0,0.0,"(774, 471)"
Bear6,1,3,320.30830850916124,41.54593842964677,5,1,0,0,1,"(669, 846)",1,"(687, 813)",1,"(549, 762)",1,"(774, 681)",1,"(630, 609)",1,"(834, 474)",0,0,"(618, 1032)","(660, 711)",0.0,0.0,"(774, 471)"
Bear6,1,4,320.30830850916124,41.54593842964677,5,1,0,0,1,"(669, 846)",1,"(687, 813)",1,"(549, 762)",1,"(774, 681)",1,"(630, 609)",1,"(834, 474)",0,0,"(621, 1041)","(660, 711)",0.0,0.0,"(774, 471)"
Bear6,1,5,320.30830850916124,41.54593842964677,5,0,0,0,1,"(669, 846)",1,"(687, 813)",1,"(549, 762)",1,"(774, 681)",1,"(630, 609)",0,0,0,0,"(621, 1041)","(660, 711)",4.95,247.5,"(774, 471)"
Bear6,1,6,320.30830850916124,41.54593842964677,6,0,1,"(552, 933)",1,"(669, 846)",1,"(687, 813)",1,"(549, 762)",1,"(774, 681)",1,"(630, 609)",0,0,0,0,"(621, 1041)","(651, 711)",0.0,0.0,"(774, 471)"
Bear6,1,7,320.30830850916124,41.54593842964677,6,0,1,"(543, 927)",1,"(669, 846)",1,"(687, 813)",1,"(549, 762)",1,"(771, 684)",1,"(630, 609)",0,0,0,0,"(624, 1053)","(651, 711)",0.0,0.0,"(774, 471)"
Bear6,1,8,320.30830850916124,41.54593842964677,6,0,1,"(543, 927)",1,"(669, 864)",1,"(687, 813)",1,"(549, 762)",1,"(771, 684)",1,"(630, 609)",0,0,0,0,"(624, 1053)","(651, 711)",0.0,0.0,"(762, 474)"
Bear6,1,9,320.30830850916124,41.54593842964677,6,0,1,"(543, 927)",1,"(669, 864)",1,"(687, 813)",1,"(549, 762)",1,"(771, 684)",1,"(630, 609)",0,0,0,0,"(624, 1053)","(651, 711)",7.379024325749307,368.95121628746534,"(762, 474)"
Bear6,1,10,320.30830850916124,41.54593842964677,6,0,1,"(543, 927)",1,"(669, 864)",1,"(687, 813)",1,"(549, 762)",1,"(771, 684)",1,"(603, 630)",0,0,0,0,"(624, 1056)","(645, 723)",0.0,0.0,"(762, 474)"
Bear6,1,11,320.30830850916124,41.54593842964677,6,0,1,"(543, 927)",1,"(669, 864)",1,"(687, 813)",1,"(549, 762)",1,"(771, 684)",1,"(603, 630)",0,0,0,0,"(624, 1056)","(645, 723)",0.0,0.0,"(762, 474)"
Bear6,1,12,320.30830850916124,41.54593842964677,6,0,1,"(543, 927)",1,"(669, 864)",1,"(687, 825)",1,"(549, 762)",1,"(771, 684)",1,"(603, 630)",0,0,0,0,"(624, 1056)","(645, 723)",10.565154991764201,528.25774958821,"(756, 495)"
Bear6,1,13,320.30830850916124,41.54593842964677,6,0,1,"(543, 927)",1,"(669, 864)",1,"(687, 825)",1,"(549, 762)",1,"(771, 684)",1,"(603, 630)",0,0,0,0,"(624, 1056)","(660, 735)",0.0,0.0,"(756, 495)"
