bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_stride_speed,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_stride_speed,R4_AEP,R4_PEP
Bear12,1,386.2727177785147,41.54593842964677,,5,,,,,,,,,"(834, 1290)",,9,22,0.26,0.9,1.16,0.7758620689655173,101.99349243946891,34.650000000000006,126.70667898733674,106.69051681996085,"(909, 1242)","(939, 1425)",,2,,,,,,,,,"(747, 1467)",,26,41,0.3,0.82,1.12,0.732142857142857,92.76757245934596,41.54593842964677,137.10894390957873,114.9201575790109,"(915, 1332)","(900, 1500)",59,77,0.36,0.82,1.18,0.6949152542372882,87.32538290783499,39.737262110014576,115.51178511303513,135.81566763810395,"(735, 1323)","(675, 1470)",,13,,,,,,,,,"(861, 1587)",,,32,,,,,,,,,"(618, 1713)",,24,57,0.66,0.3,0.96,0.3125,63.1542753897153,22.13707297724792,102.79115963933864,116.87500000000001,"(756, 1704)","(693, 1800)"
Bear12,1,386.2727177785147,41.54593842964677,38,58,0.4,0.72,1.12,0.6428571428571428,104.00236776150821,16.987789732628553,107.44021593425806,110.97127791317747,"(780, 1074)","(774, 1263)",67,79,0.24,0.8,1.04,0.7692307692307693,92.54720417170905,24.8049390243153,105.61288983831473,132.29295570044002,"(876, 1014)","(909, 1179)",23,37,0.28,0.9,1.18,0.7627118644067797,78.40538884541037,32.03720493426354,120.85616450971793,109.07675973601036,"(765, 1317)","(744, 1458)",82,98,0.32,0.98,1.3,0.7538461538461538,96.39446301525831,41.25,135.39051850111218,120.90380791865395,"(903, 1083)","(924, 1257)",118,134,0.32,0.8,1.12,0.7142857142857143,76.06124177266632,36.03654395193857,114.43436983703805,92.91767000541228,"(738, 1113)","(729, 1251)",52,66,0.28,0.8,1.08,0.7407407407407407,81.67083322704624,39.66869042456532,116.25183869513636,142.74710543864316,"(882, 1386)","(861, 1533)",48,66,0.36,0.54,0.9,0.6,59.788314075578356,34.015621411345705,100.44692628448121,117.39061101960223,"(693, 1620)","(624, 1704)",72,99,0.54,0.3,0.84,0.35714285714285715,80.9173189125789,17.771043863543863,96.11161480279063,130.84266236942128,"(816, 1527)","(774, 1668)"
Bear12,1,386.2727177785147,41.54593842964677,94,116,0.44,0.84,1.28,0.65625,97.47576621909674,28.098487503778564,121.57488433060507,110.926805437418,"(744, 882)","(753, 1059)",119,135,0.32,0.9,1.22,0.7377049180327869,80.9173189125789,43.31053566974207,127.73387373754858,85.30146754595226,"(873, 822)","(879, 969)",82,94,0.24,0.86,1.1,0.7818181818181817,89.16109016830156,29.74579802257791,123.84896043164836,117.77627095472162,"(747, 1098)","(753, 1260)",147,164,0.34,0.78,1.12,0.6964285714285714,94.18017307268023,24.8049390243153,123.7939921805578,107.90728974081956,"(912, 837)","(903, 1008)",174,185,0.22,0.86,1.08,0.7962962962962963,79.21718563544152,43.02673587433748,122.14458645392355,94.91915013172208,"(717, 906)","(720, 1050)",106,119,0.26,0.88,1.14,0.7719298245614036,77.56755120538486,36.635945463437956,151.8,82.70288994672538,"(906, 1176)","(903, 1317)",93,108,0.3,0.68,0.98,0.6938775510204083,66.43171305935141,31.35,102.31330558632148,109.76208131208541,"(738, 1443)","(708, 1560)",114,147,0.66,0.32,0.98,0.326530612244898,78.66538311099744,20.409372846807422,137.03942863278436,80.9740170737887,"(852, 1356)","(828, 1497)"
Bear12,1,386.2727177785147,41.54593842964677,158,172,0.28,0.8,1.08,0.7407407407407407,94.16571828430983,38.51963784876489,104.4203643931585,117.88664386803593,"(774, 663)","(741, 831)",180,193,0.26,0.82,1.08,0.7592592592592592,85.80000000000001,35.272971238612726,127.91491312587443,113.5602473753497,"(897, 591)","(897, 747)",137,151,0.28,0.82,1.1,0.7454545454545454,95.8279317318286,33.16458954969894,117.5675656803355,115.58762909585091,"(738, 873)","(729, 1047)",203,219,0.32,0.76,1.08,0.7037037037037037,99.0137490452715,28.483416227692917,108.77492817740676,103.90012194172908,"(918, 612)","(915, 792)",228,242,0.28,0.86,1.14,0.7543859649122807,79.47452422002915,29.74579802257791,117.36358046799891,113.34844727041902,"(711, 684)","(723, 828)",163,184,0.42,0.78,1.2,0.65,115.60602276698218,25.61488824882904,117.44013368521003,117.07703126574401,"(906, 900)","(915, 1110)",142,169,0.54,0.28,0.82,0.34146341463414637,70.96918345310168,13.200000000000001,118.80000000000001,123.1555472407997,"(735, 1257)","(738, 1386)",163,204,0.82,0.22,1.04,0.21153846153846154,117.15,16.250615372963576,87.5122420007624,122.42074555526808,"(843, 1107)","(843, 1320)"
Bear12,1,386.2727177785147,41.54593842964677,212,225,0.26,0.64,0.9,0.7111111111111111,66.0824485018526,29.74579802257791,133.24196973926797,100.83333333333334,"(756, 474)","(762, 594)",234,,,,,,,,,,,"(909, 528)",192,208,0.32,0.78,1.1,0.7090909090909091,85.17900269432603,38.51963784876489,102.51268214225985,87.01293007363905,"(756, 660)","(732, 813)",257,,,,,,,,,,,"(909, 561)",285,,,,,,,,,,,"(708, 630)",223,241,0.36,0.76,1.12,0.6785714285714285,92.41473096860696,18.22484567835898,128.49732412678213,112.20632907194238,"(891, 687)","(894, 855)",183,220,0.74,0.46,1.2,0.38333333333333336,105.60000000000001,39.90817585407782,97.36398204675075,94.88496324497368,"(735, 1041)","(735, 1233)",215,,,,,,,,,,,"(831, 1080)"
Bear12,1,386.2727177785147,41.54593842964677,257,,,,,,,,,,,"(753, 420)",,,,,,,,,,,,,247,,,,,,,,,,,"(744, 591)",,,,,,,,,,,,,,,,,,,,,,,,,279,,,,,,,,,,,"(894, 654)",243,275,0.64,0.22,0.86,0.2558139534883721,57.844208871761744,8.25,104.73105347938835,103.8885000540626,"(738, 864)","(744, 969)",,,,,,,,,,,,
Bear12,1,386.2727177785147,41.54593842964677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,,"(738, 849)",,,,,,,,,,,,
Bear12,3,372.1582224000969,44.27414595449584,54,56,0.04,0.84,0.88,0.9545454545454545,8.413382197428096,11.898319209031166,114.89735636645433,33.8020432074749,"(894, 1278)","(879, 1281)",,6,,,,,,,,,"(969, 1422)",,,13,,,,,,,,,"(828, 1263)",,64,77,0.26,1.32,1.58,0.8354430379746836,86.44803352303627,13.302725284692608,86.44803352303627,55.43669766070518,"(954, 1425)","(801, 1461)",63,74,0.22,1.44,1.66,0.8674698795180723,68.45014609188209,30.42449670906653,112.24851892118667,58.068953623649584,"(756, 1284)","(636, 1317)",8,22,0.28,1.86,2.14,0.8691588785046729,74.54275618730502,18.81289451413578,81.11894045166024,37.26546889052532,"(729, 1455)","(609, 1518)",,19,,,,,,,,,"(423, 1452)",,42,65,0.46,0.5,0.96,0.5208333333333334,35.61860468912279,11.667261889578036,73.08587414815534,30.98520627351866,"(516, 1551)","(453, 1566)"
Bear12,3,372.1582224000969,44.27414595449584,98,111,0.26,1.18,1.44,0.8194444444444444,106.99585272336495,35.61860468912279,106.33222700573896,87.1511523199461,"(1098, 1323)","(912, 1266)",122,135,0.26,0.68,0.94,0.723404255319149,93.8616535119641,34.68926346868726,178.69583794817385,103.0269169143326,"(1155, 1455)","(987, 1425)",121,137,0.32,1.46,1.78,0.8202247191011236,134.3002699178226,27.0620121203136,94.51202304468994,89.80576502872685,"(1074, 1278)","(831, 1254)",143,156,0.26,0.76,1.02,0.7450980392156863,73.79024325749306,26.605450569385216,153.1214224071864,101.86039788573108,"(1107, 1461)","(975, 1437)",146,163,0.34,1.42,1.76,0.8068181818181818,82.5659736210989,52.17758139277826,138.37392276003453,112.39057177984283,"(960, 1278)","(810, 1272)",115,125,0.2,0.92,1.12,0.8214285714285714,63.754940984993475,17.226505739702407,107.4528850240886,89.38174523212106,"(876, 1443)","(762, 1464)",62,85,0.46,0.66,1.12,0.5892857142857143,46.669047558312144,12.56602562467545,104.8886194970646,51.73059335541263,"(507, 1440)","(423, 1452)",90,126,0.72,0.6,1.32,0.45454545454545453,62.001370952584594,17.771043863543863,66.51362642346304,83.89912097274917,"(633, 1488)","(531, 1536)"
Bear12,3,372.1582224000969,44.27414595449584,170,183,0.26,0.76,1.02,0.7450980392156863,76.915489337324,23.624404754405983,115.65311279857539,104.18450827597107,"(1242, 1194)","(1161, 1308)",169,198,0.58,0.8,1.38,0.5797101449275364,156.05371671318824,27.65904011349635,103.00282763108983,111.14421437670065,"(1374, 1215)","(1218, 1452)",210,222,0.24,0.64,0.88,0.7272727272727273,67.83085581061175,33.20560946587188,140.04602814789143,126.00223212308583,"(1194, 1155)","(1113, 1248)",194,211,0.34,0.94,1.28,0.7343749999999999,126.7818599011704,14.000714267493642,109.90783639031386,107.11636242935838,"(1329, 1293)","(1149, 1437)",234,251,0.34,0.68,1.02,0.6666666666666667,86.38502474387562,25.77382393049196,135.1087062331662,106.82596281887626,"(1176, 1149)","(1038, 1224)",171,188,0.34,0.72,1.06,0.6792452830188679,91.48204741915214,8.25,121.27219384508554,100.25301739763253,"(1071, 1431)","(906, 1452)",118,156,0.76,0.48,1.24,0.3870967741935484,96.84530189947264,22.13707297724792,84.55344463710512,99.7983870967742,"(687, 1377)","(516, 1419)",156,179,0.46,0.3,0.76,0.39473684210526316,51.67951721910723,20.14081676596061,91.9273626294152,85.52955459454513,"(753, 1473)","(663, 1500)"
