bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_stride_speed,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_stride_speed,R4_AEP,R4_PEP
08082019-Bear19,3,354.21238332390357,41.28298681054945,11,21,0.2,0.42,0.62,0.6774193548387096,78.40538884541037,19.24214125298949,80.85000000000001,122.67942221397794,"(1086.0, 1242.0)","(1227.0, 1263.0)",,12,,,,,,,,,"(1122.0, 1131.0)",,,8,,,,,,,,,"(1257.0, 1266.0)",,23,33,0.2,0.58,0.78,0.7435897435897435,69.39814478788321,44.42760965885966,127.31757537747882,157.23726559663805,"(1179.0, 1128.0)","(1299.0, 1167.0)",34,45,0.22,0.42,0.64,0.65625,87.83828891776069,31.738383701757723,143.7868735316267,188.36198346908077,"(1272.0, 1281.0)","(1431.0, 1266.0)",14,23,0.18,0.5,0.68,0.7352941176470588,70.96918345310168,11.06853648862396,112.39395001511426,112.90261002833846,"(1356.0, 1125.0)","(1485.0, 1122.0)",4,33,0.58,0.3,0.88,0.3409090909090909,68.15119221260917,24.96903081819557,158.82053551099747,129.86320928192097,"(1614.0, 1269.0)","(1737.0, 1254.0)",,6,,,,,,,,,"(1692.0, 1161.0)",
08082019-Bear19,3,354.21238332390357,41.28298681054945,42,50,0.16,0.3,0.46,0.6521739130434782,92.23780407186634,16.250615372963576,87.3721351461666,198.45304973459162,"(939.0, 1242.0)","(1104.0, 1272.0)",36,46,0.2,0.42,0.62,0.6774193548387096,64.4345598262299,46.2,135.3,215.58094322115969,"(1017.0, 1149.0)","(1134.0, 1143.0)",44,61,0.34,0.5,0.84,0.5952380952380952,121.57488433060507,22.9818406573538,120.85616450971793,169.48724065515364,"(1008.0, 1251.0)","(1227.0, 1281.0)",62,69,0.14,0.92,1.06,0.8679245283018868,89.29839024304975,65.7106155807416,165.99524842597154,137.915445717002,"(948.0, 1143.0)","(1104.0, 1098.0)",66,82,0.32,0.52,0.84,0.6190476190476191,112.24851892118667,28.483416227692917,135.67174540043334,142.31246610962825,"(1011.0, 1266.0)","(1215.0, 1272.0)",48,59,0.22,0.48,0.7,0.6857142857142857,122.64506716537768,28.098487503778564,123.84896043164836,185.07699721456257,"(1152.0, 1113.0)","(1374.0, 1134.0)",48,81,0.66,0.06,0.72,0.08333333333333333,133.904387530805,0.0,110.6853648862396,179.93596951415805,"(1326.0, 1248.0)","(1569.0, 1263.0)",37,61,0.48,0.5,0.98,0.5102040816326531,100.70408382980305,62.895091223401536,141.88081265625738,175.23150629857292,"(1440.0, 1170.0)","(1623.0, 1176.0)"
08082019-Bear19,3,354.21238332390357,41.28298681054945,65,76,0.22,0.32,0.54,0.5925925925925926,92.41473096860696,19.8,90.61489943712348,165.02828975588727,"(783.0, 1272.0)","(951.0, 1269.0)",67,78,0.22,0.24,0.46,0.5217391304347826,89.10000000000001,17.226505739702407,67.40810411219114,165.35052559275286,"(771.0, 1149.0)","(933.0, 1149.0)",86,97,0.22,0.56,0.78,0.717948717948718,98.07442327130964,33.0412242509263,113.40674583110126,154.43756517914136,"(795.0, 1305.0)","(969.0, 1266.0)",115,126,0.22,0.24,0.46,0.5217391304347826,108.05925457821742,34.015621411345705,100.5282049974036,261.8232567389234,"(648.0, 1176.0)","(843.0, 1200.0)",108,126,0.36,0.48,0.84,0.5714285714285714,127.09284991690132,33.20560946587188,126.20073296142142,168.90572935268736,"(771.0, 1323.0)","(1002.0, 1317.0)",83,93,0.2,0.68,0.88,0.7727272727272728,95.92731623474099,45.84506516518436,135.31006060156798,136.88784186332984,"(927.0, 1122.0)","(1101.0, 1110.0)",84,119,0.7,0.18,0.88,0.20454545454545453,110.6853648862396,43.18463268339792,120.72092817734628,136.88784186332984,"(1128.0, 1284.0)","(1326.0, 1248.0)",86,101,0.3,0.32,0.62,0.5161290322580645,79.28589092644417,9.621070626494745,157.0623204336419,125.10895355707235,"(1185.0, 1209.0)","(1326.0, 1179.0)"
08082019-Bear19,3,354.21238332390357,41.28298681054945,92,113,0.42,0.34,0.76,0.4473684210526316,71.23720937824558,26.08879069638913,128.3610922359264,153.28615593879664,"(621.0, 1302.0)","(747.0, 1272.0)",90,104,0.28,0.42,0.7,0.6,54.922946024407686,27.21249712907656,122.0665494719991,120.02926938961214,"(657.0, 1194.0)","(741.0, 1140.0)",125,132,0.14,0.56,0.7,0.8000000000000002,81.25307686481787,66.51362642346304,135.18928396881168,218.5161694853052,"(591.0, 1335.0)","(735.0, 1302.0)",138,150,0.24,0.24,0.48,0.5,79.62852817929011,16.82676439485619,107.66803146709799,161.59906501121847,"(480.0, 1248.0)","(624.0, 1233.0)",150,159,0.18,0.54,0.72,0.7500000000000001,102.04686423403712,34.015621411345705,112.2,201.7968329918871,"(564.0, 1422.0)","(744.0, 1377.0)",127,136,0.18,0.38,0.56,0.6785714285714285,91.70497532849568,42.42136843620206,82.51649835032993,259.9878885032288,"(690.0, 1188.0)","(855.0, 1164.0)",128,,,,,,,,,,,"(1050.0, 1293.0)",117,146,0.58,0.1,0.68,0.14705882352941177,149.8232708894049,0.0,99.12367275277889,200.3418493916013,"(903.0, 1254.0)","(1170.0, 1200.0)"
08082019-Bear19,3,354.21238332390357,41.28298681054945,130,141,0.22,0.36,0.58,0.6206896551724138,103.64837191196011,31.52320573799562,133.904387530805,197.30063765006562,"(399.0, 1374.0)","(582.0, 1329.0)",125,134,0.18,0.32,0.5,0.64,97.68501676306352,19.868631055007288,100.70408382980305,183.2911618163844,"(438.0, 1230.0)","(609.0, 1182.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,162,0.14,0.34,0.48,0.7083333333333334,75.14296374245562,11.55,102.45955299531616,127.92858420325773,"(543.0, 1218.0)","(672.0, 1263.0)",,,,,,,,,,,,,,,,,,,,,,,,
08082019-Bear19,3,354.21238332390357,41.28298681054945,,,,,,,,,,,,,150,158,0.16,0.4,0.56,0.7142857142857143,92.31156482261582,19.868631055007288,101.2298868911746,176.51541836598403,"(288.0, 1335.0)","(441.0, 1266.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08082019-Bear19,12,369.02499915317395,41.3817894731487,4,13,0.18,0.44,0.62,0.7096774193548387,89.64831286756043,55.46552983610633,163.35833312078086,239.88546792401547,"(1236.0, 954.0)","(1218.0, 792.0)",14,24,0.2,0.34,0.54,0.6296296296296297,106.44738136750946,43.6860675730833,151.05387284012286,232.70417823473053,"(1176.0, 1074.0)","(1113.0, 891.0)",,5,,,,,,,,,"(1215.0, 759.0)",,4,11,0.14,0.44,0.58,0.7586206896551725,75.72043977685286,46.02287474723847,150.50315611308625,198.83289445352287,"(1095.0, 837.0)","(1068.0, 702.0)",15,27,0.24,0.4,0.64,0.625,107.44021593425806,57.27663136044229,157.60739195862612,279.7829904202821,"(1227.0, 792.0)","(1191.0, 600.0)",,4,,,,,,,,,"(1041.0, 636.0)",,14,24,0.2,0.2,0.4,0.5,75.91793266416045,10.036558174992063,60.84899341813306,166.07928264837852,"(1122.0, 528.0)","(1119.0, 390.0)",3,16,0.26,0.36,0.62,0.5806451612903225,105.25137766319263,31.39339102422674,137.8515505897558,186.00496577910204,"(1038.0, 504.0)","(993.0, 318.0)"
08082019-Bear19,12,369.02499915317395,41.3817894731487,35,46,0.22,0.42,0.64,0.65625,108.54943574243029,63.1542753897153,130.9750835082765,269.04065405651295,"(1353.0, 1227.0)","(1287.0, 1041.0)",41,54,0.26,0.34,0.6,0.5666666666666668,108.47416743169778,43.18463268339792,138.29520056748174,270.466379611219,"(1278.0, 1329.0)","(1191.0, 1152.0)",29,38,0.18,0.38,0.56,0.6785714285714285,113.79020168714001,42.06691098714048,146.25553835667216,301.1273063931802,"(1290.0, 1053.0)","(1230.0, 855.0)",33,41,0.16,0.4,0.56,0.7142857142857143,104.48552531331794,50.18279087496032,151.40492065979893,284.21965368947895,"(1167.0, 1101.0)","(1116.0, 918.0)",47,56,0.18,0.44,0.62,0.7096774193548387,101.18953750264896,58.962975671178604,144.0706076894243,247.6287386302922,"(1323.0, 1062.0)","(1248.0, 894.0)",24,32,0.16,0.38,0.54,0.7037037037037037,58.592426985063526,74.15827667900598,165.50248487560543,284.3144776866318,"(1086.0, 846.0)","(1068.0, 741.0)",34,39,0.1,0.02,0.12,0.16666666666666669,50.829641942472904,8.413382197428096,59.60589316502187,493.6613844529467,"(1146.0, 636.0)","(1125.0, 546.0)",34,45,0.22,0.2,0.42,0.4761904761904762,107.66803146709799,13.200000000000001,104.78474364142903,330.79411255032824,"(1086.0, 750.0)","(1035.0, 561.0)"
08082019-Bear19,12,369.02499915317395,41.3817894731487,67,75,0.16,0.34,0.5,0.68,67.83085581061175,44.42760965885966,95.65731806819592,206.66538171643555,"(1431.0, 1452.0)","(1392.0, 1335.0)",71,84,0.26,0.48,0.74,0.6486486486486487,96.21070626494748,53.262040892177616,122.51180555358737,166.6191556337542,"(1353.0, 1569.0)","(1287.0, 1407.0)",57,66,0.18,0.52,0.7,0.7428571428571429,104.21157565261166,52.437820320833325,124.46294629326434,213.929382302303,"(1398.0, 1296.0)","(1323.0, 1122.0)",61,73,0.24,0.46,0.7,0.6571428571428573,101.7797253877215,44.27414595449584,132.13399449044144,229.62491598434246,"(1263.0, 1359.0)","(1209.0, 1182.0)",78,90,0.24,0.4,0.64,0.625,85.17900269432603,21.450000000000003,97.25206938672308,157.7509162017768,"(1413.0, 1308.0)","(1356.0, 1164.0)",51,60,0.18,0.5,0.68,0.7352941176470588,91.34802953539831,70.85400482682684,142.10131069064775,231.77557640974427,"(1191.0, 1128.0)","(1134.0, 972.0)",40,49,0.18,0.22,0.4,0.5499999999999999,51.256341071129924,33.409953606672374,152.0150650429095,250.5746520500428,"(1155.0, 744.0)","(1149.0, 651.0)",55,72,0.34,0.08,0.42,0.1904761904761905,93.11907699284825,2.3334523779156067,86.13252869851205,218.87467292717906,"(1170.0, 921.0)","(1086.0, 774.0)"
08082019-Bear19,12,369.02499915317395,41.3817894731487,92,100,0.16,0.36,0.52,0.6923076923076923,51.811050944755024,32.668333290818495,95.21515110527316,147.91440257177692,"(1476.0, 1620.0)","(1461.0, 1527.0)",108,118,0.2,0.42,0.62,0.6774193548387096,70.48803089886964,44.02749141161691,132.18549466564025,225.0954532177699,"(1449.0, 1770.0)","(1380.0, 1662.0)",92,104,0.24,0.52,0.76,0.6842105263157895,72.07308790387714,51.784770927368214,142.56993020970447,153.884602589497,"(1455.0, 1515.0)","(1419.0, 1389.0)",96,107,0.22,0.46,0.68,0.676470588235294,88.99299129706789,37.66195029469398,135.03816127302682,155.76731673771565,"(1329.0, 1590.0)","(1299.0, 1431.0)",110,,,,,,,,,,,"(1398.0, 1344.0)",85,94,0.18,0.48,0.66,0.7272727272727272,75.91793266416045,37.66195029469398,128.70000000000002,135.57746862956247,"(1248.0, 1380.0)","(1251.0, 1242.0)",60,76,0.32,0.24,0.56,0.4285714285714285,118.8229144567663,18.81289451413578,92.23780407186634,245.05005540830274,"(1281.0, 990.0)","(1188.0, 795.0)",76,90,0.28,0.28,0.56,0.5,84.08526922118999,34.650000000000006,106.88128928863088,190.81395369172924,"(1215.0, 1071.0)","(1173.0, 924.0)"
