Track,Slice,X,Y,Distance,Velocity,Pixel Value
0,1,,,,,
0,221,,,,,
1,1,1458,1047,142.787,71.393,-5592406
1,1,1002,435,98.453,49.227,-7631989
1,5,1440,942,-1,-1,144
1,6,1407,867,10.57,5.285,146
2,7,1428,927,-1,-1,-8289919
2,8,1428,927,0,0,-8289919
2,9,1428,927,0,0,-7631989
2,10,1428,927,0,0,-7631989
2,11,1428,927,0,0,-7697782
2,12,1428,927,0,0,-8092540
2,13,1428,927,0,0,-8224126
2,14,1428,927,0,0,-8421505
2,15,1428,927,0,0,-7895161
2,16,1428,927,0,0,-7171438
2,17,1428,927,0,0,-7171438
2,18,1428,927,0,0,-7434610
2,19,1428,927,0,0,-7171438
2,20,1428,927,0,0,-7303024
2,21,1428,927,0,0,-5921371
2,22,1428,927,0,0,-5789785
2,23,1428,951,3.096,1.548,-5263441
2,24,1428,951,0,0,-5263441
2,25,1428,951,0,0,-5197648
2,26,1428,951,0,0,-6710887
2,27,1428,975,3.096,1.548,-5921371
2,28,1428,975,0,0,-4737097
2,29,1428,975,0,0,-7171438
2,30,1428,975,0,0,-8092540
2,31,1428,975,0,0,-8092540
2,32,1437,978,1.224,0.612,-5329234
2,33,1437,978,0,0,-5658199
2,34,1437,978,0,0,-5855578
2,35,1437,981,0.387,0.193,-5723992
2,36,1437,981,0,0,-5987164
2,37,1437,981,0,0,-5723992
2,38,1437,981,0,0,-5723992
2,39,1437,981,0,0,-5855578
2,40,1437,981,0,0,-6052957
2,41,1446,999,2.596,1.298,-6381922
2,42,1446,999,0,0,-6710887
2,43,1446,999,0,0,-6184543
2,56,1491,1161,21.689,10.845,-5526613
2,57,1491,1161,0,0,-5526613
2,58,1491,1161,0,0,-5921371
2,59,1491,1161,0,0,-7631989
2,60,1491,1161,0,0,-7631989
2,61,1491,1161,0,0,-7500403
2,62,1491,1161,0,0,-6513508
2,63,1491,1161,0,0,-7105645
2,64,1491,1161,0,0,-7434610
2,65,1491,1161,0,0,-8026747
2,66,1491,1161,0,0,-8553091
2,67,1491,1161,0,0,-8553091
2,68,1509,1161,2.322,1.161,-7763575
2,69,1509,1161,0,0,-7105645
2,70,1509,1161,0,0,-6250336
2,71,1509,1161,0,0,-6974059
2,72,1509,1161,0,0,-7829368
2,73,1509,1161,0,0,-7500403
2,74,1506,1179,2.354,1.177,-7105645
2,75,1506,1179,0,0,-6776680
2,76,1506,1179,0,0,-4342339
2,77,1506,1179,0,0,-3881788
2,78,1506,1179,0,0,-3815995
2,79,1503,1188,1.224,0.612,-5921371
2,80,1503,1188,0,0,-5658199
2,81,1503,1188,0,0,-5658199
2,82,1503,1188,0,0,-4934476
2,83,1503,1188,0,0,-4473925
2,84,1503,1188,0,0,-4737097
2,85,1503,1188,0,0,-5263441
2,86,1503,1200,1.548,0.774,-6645094
2,87,1503,1200,0,0,-6118750
2,88,1503,1200,0,0,-6118750
2,89,1503,1200,0,0,-6513508
2,90,1503,1200,0,0,-7566196
2,91,1503,1215,1.935,0.967,-6513508
2,92,1503,1215,0,0,-6513508
2,93,1503,1215,0,0,-6250336
2,94,1503,1215,0,0,-5855578
2,95,1503,1215,0,0,-6250336
2,96,1503,1215,0,0,-6250336
2,97,1500,1209,0.865,0.433,-6250336
2,98,1500,1209,0,0,-6184543
2,99,1500,1209,0,0,-7434610
2,100,1509,1212,1.224,0.612,-8158333
2,101,1524,1224,2.478,1.239,-5131855
2,102,1524,1224,0,0,-5000269
2,103,1524,1224,0,0,-5000269
2,104,1524,1224,0,0,-5526613
2,105,1524,1224,0,0,-5460820
2,106,1524,1224,0,0,-6447715
2,120,1635,1386,25.333,12.666,-6513508
2,121,1635,1386,0,0,-6842473
2,122,1635,1386,0,0,-7434610
2,123,1635,1386,0,0,-7500403
2,124,1635,1386,0,0,-7500403
2,125,1635,1386,0,0,-6908266
2,126,1635,1386,0,0,-6513508
2,127,1635,1386,0,0,-7500403
2,128,1635,1386,0,0,-8750470
2,129,1644,1389,1.224,0.612,-7105645
2,130,1644,1389,0,0,-5987164
2,131,1644,1389,0,0,-5987164
2,132,1644,1389,0,0,-6381922
2,133,1644,1389,0,0,-6118750
2,134,1644,1389,0,0,-4802890
2,135,1644,1389,0,0,-5460820
2,136,1653,1413,3.307,1.653,-6908266
2,137,1653,1413,0,0,-6842473
2,138,1653,1413,0,0,-6250336
2,139,1653,1413,0,0,-6250336
2,140,1653,1413,0,0,-4737097
2,141,1653,1413,0,0,-3947581
2,142,1653,1413,0,0,-3881788
2,143,1653,1413,0,0,-5921371
2,144,1656,1410,0.547,0.274,-6381922
2,145,1656,1410,0,0,-6645094
2,146,1656,1410,0,0,-6645094
2,147,1656,1410,0,0,-6118750
2,148,1665,1431,2.947,1.474,-6118750
2,149,1665,1431,0,0,-5855578
2,150,1665,1431,0,0,-8092540
2,151,1689,1458,4.66,2.33,-5855578
2,152,1689,1458,0,0,-5592406
2,153,1689,1458,0,0,-5592406
2,154,1689,1458,0,0,-5197648
2,155,1689,1458,0,0,-6184543
2,156,1707,1467,2.596,1.298,-6974059
2,157,1707,1467,0,0,-7697782
2,158,1707,1467,0,0,-5921371
2,168,1776,1620,21.651,10.826,-7105645
2,169,1776,1620,0,0,-6316129
2,170,1776,1620,0,0,-6645094
2,171,1776,1620,0,0,-5789785
2,172,1776,1620,0,0,-4539718
2,173,1776,1620,0,0,-5263441
2,174,1776,1620,0,0,-5263441
2,175,1776,1620,0,0,-6513508
2,176,1776,1620,0,0,-7368817
2,177,1776,1620,0,0,-6184543
2,178,1788,1638,2.791,1.395,-6908266
2,179,1788,1638,0,0,-6776680
2,180,1788,1638,0,0,-6381922
2,181,1788,1638,0,0,-5592406
2,182,1788,1638,0,0,-5592406
2,183,1788,1638,0,0,-6513508
2,184,1791,1647,1.224,0.612,-8618884
2,185,1791,1647,0,0,-7303024
2,186,1791,1647,0,0,-7500403
2,187,1791,1647,0,0,-8882056
2,188,1809,1656,2.596,1.298,-5066062
2,189,1809,1656,0,0,-5066062
2,190,1809,1656,0,0,-5723992
2,191,1809,1656,0,0,-7303024
2,192,1815,1668,1.731,0.865,-6184543
2,193,1815,1668,0,0,-5395027
2,194,1815,1668,0,0,-5000269
